"repo","state","creator","assignees","message","labels","created_at","updated_at","closed_at","comments","milestone","url","duration","bill"
"eventjuicer/services","closed","jprzybylski4","","CFP emails","","2021-09-10","2021-09-16","2021-09-16",2,"","https://github.com/eventjuicer/services/pull/25",9128,0
"ecommerceberlin/targiehandlu.pl","closed","az","az","fix error - company profile booth is marked on the map even when navigated away from company profile","bug","2021-09-29","2021-09-29","2021-09-29",1,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/97",5,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","jprzybylski4","update ticket ids for party and juror submission $10$","enhancement","2021-09-16","2021-09-16","2021-09-16",0,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/59",0,10
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","create archive Jurors widget","enhancement","2021-09-16","2021-09-16","2021-09-16",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/57",727,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","clone tickets from previous project edition $45$","update","2021-09-13","2021-09-16","2021-09-16",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/50",2921,45
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","update gfx for /about","update","2021-09-16","2021-09-16","2021-09-16",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/56",0,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","jprzybylski4","update gfx for /about $10$","update","2021-09-13","2021-09-16","2021-09-16",4,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/48",2898,10
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","modify archive winners widget to show multiple archived events ","enhancement","2021-09-15","2021-09-15","2021-09-15",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/54",98,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","clone media, community, communication partners from previous event $15$","","2021-09-15","2021-09-15","2021-09-15",0,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/53",2,15
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","create new event edition in admin panel $10$","update","2021-09-13","2021-09-15","2021-09-15",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/49",2702,0
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","az","Update /about copy","","2021-09-15","2021-09-15","2021-09-15",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/52",13,0
"ecommerceberlin/ecommerceberlin.com","closed","az","az","fix dynamicweb doubled company profile $15$","maintenance","2021-09-29","2021-09-29","2021-09-29",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/76",10,15
"ecommerceberlin/ecommerceberlin.com","closed","az","jprzybylski4","translate bad linkedin token dialog","translations","2021-09-16","2021-09-23","2021-09-23",3,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/74",10277,0
"ecommerceberlin/ecommerceberlin.com","closed","az","az","sending email promoting  to companies  CFP $30$","maintenance","2021-09-17","2021-09-17","2021-09-17",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/75",0,30
"ecommerceberlin/ecommerceberlin.com","closed","az","jprzybylski4","translate voting pages bullshit","translations","2021-09-16","2021-09-16","2021-09-16",2,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/72",241,0
"ecommerceberlin/ecommerceberlin.com","closed","az","jprzybylski4","translate ""on voted"" dialog","translations","2021-09-16","2021-09-16","2021-09-16",1,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/73",231,0
"ecommerceberlin/ecommerceberlin.com","closed","jprzybylski4","az","Change the featured image graphic while sharing /speaking page","updates","2021-09-09","2021-09-16","2021-09-16",1,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/61",10103,0
"ecommerceberlin/ecommerceberlin.com","closed","jprzybylski4","az","CFP - remove ""vote with linkedin"" button","question","2021-09-16","2021-09-16","2021-09-16",1,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/70",15,0
"ecommerceberlin/ecommerceberlin.com","closed","az","peterecommberlin, jprzybylski4","translations for CFP submission data edit page","translations","2021-09-15","2021-09-15","2021-09-15",1,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/65",389,0
"ecommerceberlin/ecommerceberlin.com","closed","az","peterecommberlin, jprzybylski4","add translations to booth-related benefits","translations","2021-09-15","2021-09-15","2021-09-15",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/63",126,0
"ecommerceberlin/ecommerceberlin.com","closed","az","az","rework /vote /vote/categories/*** to match new widget options","","2021-09-15","2021-09-15","2021-09-15",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/67",34,0
"ecommerceberlin/admin","open","az","az","handle UTM url profile aggregation","enhancement","2021-09-15","2021-09-15","",0,"","https://github.com/ecommerceberlin/admin/issues/58",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","fix regression on company profile keyword linking","bug","2021-09-29","2021-09-29","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/96",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","jprzybylski4","setup cloned tickets for current edition","update","2021-09-16","2021-09-16","",0,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/58",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","az","create API endpoint for showing winners only ","enhancement","2021-09-15","2021-09-15","",0,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/55",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","az","Add CFP voting banner on HP $30$","maintenance","2021-09-30","2021-10-01","",3,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/78",0,30
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","translate visitor registration form displayed after voting ","translations","2021-10-01","2021-10-01","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/81",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","peterecommberlin, jprzybylski4","fresh list of featured exhibitors","updates","2021-09-30","2021-09-30","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/80",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","add translation to infobox on archive exhibitor's profile","translations","2021-09-30","2021-09-30","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/79",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","","Check duplicated exhibitors' profiles","bug","2021-09-30","2021-09-30","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/77",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","IMPORTANT validate saved linkedin token against new linkedin app id version","bug, enhancement","2021-09-15","2021-09-23","",0,"CFP2022","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/68",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","randomize order of submission in the browser","","2021-08-12","2021-09-23","",0,"CFP2022","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/51",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","rework /vote - add timer to show remaining days till the end of the voting","","2021-08-12","2021-09-23","",0,"CFP2022","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/45",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","photostream is fucked up on bigger streams","bug","2021-08-02","2021-09-23","",0,"CFP2022","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/36",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az, jprzybylski4","booth categories benefits icons","maintenance","2021-09-15","2021-09-16","",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/66",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","az","CFP - scroll back to the top after updating Presenter's Profile","enhancement","2021-09-16","2021-09-16","",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/71",0,0
"ecommerceberlin/ecommerceberlin.com","open","jprzybylski4","","Idea for further registration enhancement","enhancement","2021-09-15","2021-09-15","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/69",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","save UTM params in localStorage and attach to reg data even if user navigates to other sugpage(s)","enhancement","2021-09-15","2021-09-15","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/64",0,0
