"date","repo","message","bill"
"2021-10-21","az/eventjuicer-api","added scan date",0
"2021-10-21","az/eventjuicer-api","blocked api",0
"2021-10-24","ecommerceberlin/ecommerceberlin.com","invite+ticket cloned from teh20 $30$",30
"2021-10-24","ecommerceberlin/ecommerceberlin.com","removed cfp voting from HP",0
"2021-10-24","ecommerceberlin/site-components","removed admin components",0
"2021-10-24","ecommerceberlin/site-components","4.3.24",0
"2021-10-24","ecommerceberlin/site-components","added serach functionality $60$",60
"2021-10-24","ecommerceberlin/admin-site-components","cleanups",0
"2021-10-24","ecommerceberlin/admin-site-components","1.0.1",0
"2021-10-24","ecommerceberlin/admin-site-components","components moved from event.targiehandlu.pl",0
"2021-10-24","ecommerceberlin/admin-site-components","initital upload",0
"2021-10-24","ecommerceberlin/admin-site-components","Initial commit",0
"2021-10-24","ecommerceberlin/event.targiehandlu.pl","test",0
"2021-10-24","ecommerceberlin/event.targiehandlu.pl","using external lib",0
"2021-10-24","ecommerceberlin/event.targiehandlu.pl","resolve api by env vars",0
"2021-10-24","ecommerceberlin/event.targiehandlu.pl","added search functionality $45$",45
"2021-10-24","ecommerceberlin/event.ecommerceberlin.com","fixed locale",0
"2021-10-24","ecommerceberlin/event.ecommerceberlin.com","initital upload ftw!",0
"2021-10-24","ecommerceberlin/event.ecommerceberlin.com","Initial commit",0
"2021-10-24","eventjuicer/services","removed kernel",0
"2021-10-25","ecommerceberlin/site-components","4.3.25",0
"2021-10-25","ecommerceberlin/site-components","we must reindex data when sorting changes! $15$",15
"2021-10-26","ecommerceberlin/promo.targiehandlu.pl","handle cloudinary archive",0
"2021-10-26","ecommerceberlin/ecommercegermanyawards.com","updated menu $10$  https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/67",0
"2021-10-26","ecommerceberlin/targiehandlu.pl","removed button",0
"2021-10-26","ecommerceberlin/targiehandlu.pl","fixed date",0
"2021-10-26","ecommerceberlin/targiehandlu.pl","cleared up website",0
"2021-10-26","eventjuicer/services","Update teh20-summary-pl.blade.php",0
"2021-10-26","eventjuicer/services","fix",0
"2021-10-26","eventjuicer/services","mailing",0
"2021-10-27","ecommerceberlin/promo.targiehandlu.pl","download button",0
"2021-10-27","ecommerceberlin/site-components","4.3.26",0
"2021-10-27","ecommerceberlin/site-components","promo * updates $30$",30
"2021-10-27","ecommerceberlin/ecommercegermanyawards.com","added regform $30$  re https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/61",30
"2021-10-28","ecommerceberlin/ecommerceberlin.com","changed date $10$  resolves https://github.com/ecommerceberlin/ecommerceberlin.com/issues/85",0
"2021-10-28","ecommerceberlin/ecommerceberlin.com","updated media",0
"2021-10-28","ecommerceberlin/ecommerceberlin.com","hero widget media optimizations",0
"2021-10-28","ecommerceberlin/promo.targiehandlu.pl","Update package.json",0
"2021-10-28","ecommerceberlin/promo.targiehandlu.pl","added exhibitor photos $30$",30
"2021-10-28","az/eventjuicer-api","disable long texts",0
"2021-10-28","az/eventjuicer-api","fixed companies endpoint",0
"2021-10-28","ecommerceberlin/site-components","4.3.28",0
"2021-10-28","ecommerceberlin/site-components","Update PartnerPhotos.js",0
"2021-10-28","ecommerceberlin/site-components","4.3.27",0
"2021-10-28","ecommerceberlin/site-components","partner photos",0
"2021-10-28","ecommerceberlin/ecommercegermanyawards.com","hero widget media optimization",0
"2021-10-28","ecommerceberlin/targiehandlu.pl","media update",0
"2021-10-28","ecommerceberlin/targiehandlu.pl","hero widget media optimzations",0
"2021-10-28","eventjuicer/services","photos",0
"2021-10-29","ecommerceberlin/ecommercegermanyawards.com","Merge branch 'main' of https://github.com/ecommerceberlin/awards",0
"2021-10-29","ecommerceberlin/ecommercegermanyawards.com","add 2 new cats $10$  resolves https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/74",10
"2021-10-29","ecommerceberlin/ecommercegermanyawards.com","Merge pull request #72 from jprzybylski4/master  Legal files update",0
"2021-10-29","ecommerceberlin/ecommercegermanyawards.com","Legal files update",0
"2021-10-31","ecommerceberlin/site-components","4.3.29",0
"2021-10-31","ecommerceberlin/site-components","Update WidgetContestantCompaniesArchiveWinners.js",0
"2021-10-31","ecommerceberlin/site-components","added dense mode (more info in dialog) $45$  resolves https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/69",45
"2021-10-31","ecommerceberlin/site-components","removed doubled info on ticketbuybutton $10$  resolves https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/70",0
"2021-10-31","ecommerceberlin/ecommercegermanyawards.com","4.3.29",0
"2021-10-31","ecommerceberlin/ecommercegermanyawards.com","changed icons for 2 new categories $10$  resolves https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/76",10
