"date","repo","message","bill"
"2021-10-16","eventjuicer/api-components","added cname to exhibitor resource",0
"2021-10-16","eventjuicer/api-components","fixed formadata format",0
"2021-10-16","eventjuicer/api-components","fixed admin reporting $30$",30
"2021-10-16","ecommerceberlin/site-components","4.3.21",0
"2021-10-16","ecommerceberlin/site-components","added new components List and Toolbar $45$",45
"2021-10-16","ecommerceberlin/site-components","4.3.20",0
"2021-10-16","ecommerceberlin/site-components","added cname",0
"2021-10-16","ecommerceberlin/site-components","4.3.19",0
"2021-10-16","ecommerceberlin/site-components","exhibitor report changes $30$",30
"2021-10-16","ecommerceberlin/site-components","4.3.18",0
"2021-10-16","ecommerceberlin/site-components","exhibitor report overhaul $60$",60
"2021-10-16","ecommerceberlin/site-components","4.3.17",0
"2021-10-16","ecommerceberlin/site-components","admin report overhaul $90$",90
"2021-10-16","ecommerceberlin/site-components","4.3.16",0
"2021-10-16","ecommerceberlin/site-components","Update Exhibitor.js",0
"2021-10-16","ecommerceberlin/site-components","4.3.15",0
"2021-10-16","ecommerceberlin/site-components","add more exports",0
"2021-10-16","ecommerceberlin/site-components","handle raw layout $15$",15
"2021-10-16","ecommerceberlin/targiehandlu.pl","added cname",0
"2021-10-16","ecommerceberlin/targiehandlu.pl","aggregation",0
"2021-10-16","ecommerceberlin/targiehandlu.pl","build",0
"2021-10-16","ecommerceberlin/targiehandlu.pl","aggregated catering $30$",30
"2021-10-16","ecommerceberlin/targiehandlu.pl","4.3.18",0
"2021-10-16","ecommerceberlin/targiehandlu.pl","4.3.17 (admin report cleanups, fixed sorting)",0
"2021-10-18","eventjuicer/api-components","Update Personalizer.php",0
"2021-10-18","eventjuicer/api-components","potential fix",0
"2021-10-18","ecommerceberlin/targiehandlu.pl","admin report moved to separate project",0
"2021-10-18","ecommerceberlin/event.targiehandlu.pl","added map",0
"2021-10-18","ecommerceberlin/event.targiehandlu.pl","cleanups",0
"2021-10-18","ecommerceberlin/event.targiehandlu.pl","initital upload",0
"2021-10-18","ecommerceberlin/event.targiehandlu.pl","Initial commit",0
"2021-10-18","eventjuicer/services","logistics final info",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","Update SmsDisbelievers.php",0
"2021-10-18","eventjuicer/services","potential fix",0
"2021-10-18","eventjuicer/services","fixed mem problems",0
"2021-10-18","eventjuicer/services","vipreg2",0
"2021-10-19","eventjuicer/api-components","Update PartnerPerformance.php",0
"2021-10-19","ecommerceberlin/site-components","Update Exhibitor.js",0
"2021-10-19","ecommerceberlin/site-components","4.3.23",0
"2021-10-19","ecommerceberlin/site-components","exported keyby",0
"2021-10-19","ecommerceberlin/site-components","4.3.22",0
"2021-10-19","ecommerceberlin/site-components","added more exports",0
"2021-10-19","ecommerceberlin/event.targiehandlu.pl","Update index.js",0
"2021-10-19","ecommerceberlin/event.targiehandlu.pl","default = 0",0
"2021-10-19","ecommerceberlin/event.targiehandlu.pl","Update PageAdminReport.js",0
"2021-10-19","ecommerceberlin/event.targiehandlu.pl","dense list",0
"2021-10-19","ecommerceberlin/event.targiehandlu.pl","Update map.js",0
"2021-10-19","ecommerceberlin/event.targiehandlu.pl","fixed map",0
"2021-10-19","eventjuicer/services","scanner info",0
"2021-10-20","ecommerceberlin/ecommerceberlin.com","removed vote button",0
"2021-10-20","ecommerceberlin/targiehandlu.pl","map to the top",0
