"repo","state","creator","assignees","message","labels","created_at","updated_at","closed_at","comments","milestone","url","duration","bill"
"ecommerceberlin/ecommerceberlin.com","closed","jprzybylski4","","Add full date of the event - 9th February 2022","","2021-10-25","2021-10-28","2021-10-28",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/85",4230,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","jprzybylski4","translations needed","translations","2021-10-29","2021-10-31","2021-10-31",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/75",3194,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","jprzybylski4","icons needed","update","2021-10-29","2021-10-31","2021-10-31",2,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/76",3193,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","jprzybylski4","translations needed (reg form)","translations","2021-10-26","2021-10-29","2021-10-29",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/71",4005,0
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","","Add space & assets for categories descriptions","invalid","2021-10-29","2021-10-29","2021-10-29",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/73",51,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","add new categories to the list of categories","update","2021-10-29","2021-10-29","2021-10-29",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/74",2,0
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","","Legal files update","","2021-10-29","2021-10-29","2021-10-29",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/pull/72",45,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az, jprzybylski4","email confirmation template updates","","2021-10-07","2021-10-27","2021-10-27",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/64",28412,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","create submission form","","2021-10-07","2021-10-27","2021-10-27",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/61",27799,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","update menu","update","2021-10-07","2021-10-26","2021-10-26",1,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/67",27759,0
"ecommerceberlin/ecommerceberlin.com","open","peterecommberlin","","Incorrect URLs addresses on order page","","2021-10-19","2021-10-19","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/84",0,0
"eventjuicer/services","open","jprzybylski4","","Send additional services emails","","2021-10-29","2021-10-29","",0,"","https://github.com/eventjuicer/services/issues/27",0,0
"eventjuicer/services","open","jprzybylski4","","Additional Services Emails","","2021-10-29","2021-10-29","",0,"","https://github.com/eventjuicer/services/pull/26",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","az, jprzybylski4","opengraph template update","","2021-10-07","2021-11-01","",3,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/65",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","jprzybylski4","jprzybylski4","Change background video","","2021-01-15","2021-11-01","",3,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/18",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","az","add project logotype to appbar/header","enhancement, update","2021-10-31","2021-10-31","",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/77",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","jprzybylski4","join mailinglist widget ","","2021-10-07","2021-10-31","",1,"2021_contest","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/66",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","jprzybylski4","provide list of sponsors we want to show","","2021-10-07","2021-10-27","",3,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/68",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","az","az","add promoninja performance ","enhancement","2021-10-25","2021-10-25","",0,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/8",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","az","az","meetups - show only fresh ones","bug","2021-10-25","2021-10-25","",0,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/7",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","jprzybylski4","jprzybylski4","Could you explain what will be available in report.stats?","","2021-10-25","2021-10-25","",1,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/4",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","jprzybylski4","","Which companies are shown on the list?","","2021-10-25","2021-10-25","",1,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/5",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","jprzybylski4","","Show order details instead of company details","","2021-10-25","2021-10-25","",1,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/6",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","jprzybylski4","","Add ticket on map.report ","","2021-10-25","2021-10-25","",2,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/3",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","jprzybylski4","","Map scaling ","","2021-10-25","2021-10-25","",0,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/2",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","jprzybylski4","","Fix sorting","","2021-10-25","2021-10-25","",0,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/1",0,0
